program,year,period,geo_level,state,state_ansi,commodity,data_item,domain,domain_category,value
CENSUS,2022,YEAR,STATE,ALABAMA,1,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,188889000.0
CENSUS,2022,YEAR,STATE,ALASKA,2,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,646000.0
CENSUS,2022,YEAR,STATE,ARIZONA,4,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,198303000.0
CENSUS,2022,YEAR,STATE,ARKANSAS,5,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,761692000.0
CENSUS,2022,YEAR,STATE,CALIFORNIA,6,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,2806374000.0
CENSUS,2022,YEAR,STATE,COLORADO,8,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,229485000.0
CENSUS,2022,YEAR,STATE,CONNECTICUT,9,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,14079000.0
CENSUS,2022,YEAR,STATE,DELAWARE,10,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,40588000.0
CENSUS,2022,YEAR,STATE,FLORIDA,12,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,679376000.0
CENSUS,2022,YEAR,STATE,GEORGIA,13,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,532583000.0
CENSUS,2022,YEAR,STATE,HAWAII,15,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,18325000.0
CENSUS,2022,YEAR,STATE,IDAHO,16,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,410258000.0
CENSUS,2022,YEAR,STATE,ILLINOIS,17,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1821790000.0
CENSUS,2022,YEAR,STATE,INDIANA,18,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,976217000.0
CENSUS,2022,YEAR,STATE,IOWA,19,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1746539000.0
CENSUS,2022,YEAR,STATE,KANSAS,20,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1120776000.0
CENSUS,2022,YEAR,STATE,KENTUCKY,21,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,317349000.0
CENSUS,2022,YEAR,STATE,LOUISIANA,22,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,359788000.0
CENSUS,2022,YEAR,STATE,MAINE,23,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,29407000.0
CENSUS,2022,YEAR,STATE,MARYLAND,24,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,108141000.0
CENSUS,2022,YEAR,STATE,MASSACHUSETTS,25,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,19357000.0
CENSUS,2022,YEAR,STATE,MICHIGAN,26,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,548022000.0
CENSUS,2022,YEAR,STATE,MINNESOTA,27,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1161099000.0
CENSUS,2022,YEAR,STATE,MISSISSIPPI,28,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,451045000.0
CENSUS,2022,YEAR,STATE,MISSOURI,29,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,734098000.0
CENSUS,2022,YEAR,STATE,MONTANA,30,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,300486000.0
CENSUS,2022,YEAR,STATE,NEBRASKA,31,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1192741000.0
CENSUS,2022,YEAR,STATE,NEVADA,32,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,17132000.0
CENSUS,2022,YEAR,STATE,NEW HAMPSHIRE,33,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,3353000.0
CENSUS,2022,YEAR,STATE,NEW JERSEY,34,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,58712000.0
CENSUS,2022,YEAR,STATE,NEW MEXICO,35,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,56890000.0
CENSUS,2022,YEAR,STATE,NEW YORK,36,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,220514000.0
CENSUS,2022,YEAR,STATE,NORTH CAROLINA,37,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,461992000.0
CENSUS,2022,YEAR,STATE,NORTH DAKOTA,38,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1031250000.0
CENSUS,2022,YEAR,STATE,OHIO,39,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,685192000.0
CENSUS,2022,YEAR,STATE,OKLAHOMA,40,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,230920000.0
CENSUS,2022,YEAR,STATE,OREGON,41,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,330590000.0
CENSUS,2022,YEAR,STATE,PENNSYLVANIA,42,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,241632000.0
CENSUS,2022,YEAR,STATE,RHODE ISLAND,44,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1840000.0
CENSUS,2022,YEAR,STATE,SOUTH CAROLINA,45,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,156373000.0
CENSUS,2022,YEAR,STATE,SOUTH DAKOTA,46,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,687809000.0
CENSUS,2022,YEAR,STATE,TENNESSEE,47,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,278131000.0
CENSUS,2022,YEAR,STATE,TEXAS,48,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,865320000.0
CENSUS,2022,YEAR,STATE,UTAH,49,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,28556000.0
CENSUS,2022,YEAR,STATE,VERMONT,50,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,10872000.0
CENSUS,2022,YEAR,STATE,VIRGINIA,51,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,160570000.0
CENSUS,2022,YEAR,STATE,WASHINGTON,53,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,769268000.0
CENSUS,2022,YEAR,STATE,WEST VIRGINIA,54,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,10984000.0
CENSUS,2022,YEAR,STATE,WISCONSIN,55,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,509007000.0
CENSUS,2022,YEAR,STATE,WYOMING,56,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,21456000.0
CENSUS,2017,YEAR,STATE,ALABAMA,1,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,146880000.0
CENSUS,2017,YEAR,STATE,ALASKA,2,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,321000.0
CENSUS,2017,YEAR,STATE,ARIZONA,4,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,154829000.0
CENSUS,2017,YEAR,STATE,ARKANSAS,5,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,509281000.0
CENSUS,2017,YEAR,STATE,CALIFORNIA,6,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,2409928000.0
CENSUS,2017,YEAR,STATE,COLORADO,8,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,196820000.0
CENSUS,2017,YEAR,STATE,CONNECTICUT,9,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,9319000.0
CENSUS,2017,YEAR,STATE,DELAWARE,10,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,32294000.0
CENSUS,2017,YEAR,STATE,FLORIDA,12,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,544350000.0
CENSUS,2017,YEAR,STATE,GEORGIA,13,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,410369000.0
CENSUS,2017,YEAR,STATE,HAWAII,15,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,17684000.0
CENSUS,2017,YEAR,STATE,IDAHO,16,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,286983000.0
CENSUS,2017,YEAR,STATE,ILLINOIS,17,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1244342000.0
CENSUS,2017,YEAR,STATE,INDIANA,18,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,619764000.0
CENSUS,2017,YEAR,STATE,IOWA,19,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1174462000.0
CENSUS,2017,YEAR,STATE,KANSAS,20,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,852544000.0
CENSUS,2017,YEAR,STATE,KENTUCKY,21,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,221587000.0
CENSUS,2017,YEAR,STATE,LOUISIANA,22,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,281742000.0
CENSUS,2017,YEAR,STATE,MAINE,23,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,21020000.0
CENSUS,2017,YEAR,STATE,MARYLAND,24,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,77601000.0
CENSUS,2017,YEAR,STATE,MASSACHUSETTS,25,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,13658000.0
CENSUS,2017,YEAR,STATE,MICHIGAN,26,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,360374000.0
CENSUS,2017,YEAR,STATE,MINNESOTA,27,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,797679000.0
CENSUS,2017,YEAR,STATE,MISSISSIPPI,28,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,316394000.0
CENSUS,2017,YEAR,STATE,MISSOURI,29,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,601022000.0
CENSUS,2017,YEAR,STATE,MONTANA,30,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,233542000.0
CENSUS,2017,YEAR,STATE,NEBRASKA,31,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,861588000.0
CENSUS,2017,YEAR,STATE,NEVADA,32,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,10088000.0
CENSUS,2017,YEAR,STATE,NEW HAMPSHIRE,33,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1890000.0
CENSUS,2017,YEAR,STATE,NEW JERSEY,34,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,43096000.0
CENSUS,2017,YEAR,STATE,NEW MEXICO,35,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,42627000.0
CENSUS,2017,YEAR,STATE,NEW YORK,36,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,139358000.0
CENSUS,2017,YEAR,STATE,NORTH CAROLINA,37,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,378720000.0
CENSUS,2017,YEAR,STATE,NORTH DAKOTA,38,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,761592000.0
CENSUS,2017,YEAR,STATE,OHIO,39,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,443505000.0
CENSUS,2017,YEAR,STATE,OKLAHOMA,40,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,205670000.0
CENSUS,2017,YEAR,STATE,OREGON,41,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,243277000.0
CENSUS,2017,YEAR,STATE,PENNSYLVANIA,42,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,157550000.0
CENSUS,2017,YEAR,STATE,RHODE ISLAND,44,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1261000.0
CENSUS,2017,YEAR,STATE,SOUTH CAROLINA,45,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,124589000.0
CENSUS,2017,YEAR,STATE,SOUTH DAKOTA,46,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,541873000.0
CENSUS,2017,YEAR,STATE,TENNESSEE,47,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,218006000.0
CENSUS,2017,YEAR,STATE,TEXAS,48,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,750063000.0
CENSUS,2017,YEAR,STATE,UTAH,49,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,24463000.0
CENSUS,2017,YEAR,STATE,VERMONT,50,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,8258000.0
CENSUS,2017,YEAR,STATE,VIRGINIA,51,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,126534000.0
CENSUS,2017,YEAR,STATE,WASHINGTON,53,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,582391000.0
CENSUS,2017,YEAR,STATE,WEST VIRGINIA,54,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,8031000.0
CENSUS,2017,YEAR,STATE,WISCONSIN,55,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,355396000.0
