state,num_inspections,year,num_violations,Pesticide_applied_acreage,hired_farm_labor,num_violations_zscore,num_inspections_zscore,Pesticide_applied_acreage_zscore,hired_farm_labor_zscore
ALABAMA,107.0,2012,20.0,3590086,32948,-0.14798378817090055,0.3238568719335726,-0.5478412322700233,-0.28590383915891954
ALABAMA,153.0,2017,12.0,3736145,26136,-0.22849682767540158,0.7089654920012447,-0.5334837036919523,-0.38648104182110504
ALASKA,6.0,2012,6.0,16066,1577,-0.2888816073037774,-0.5217077069106641,-0.8991656579377165,-0.7490875480132092
ALASKA,4.0,2017,4.0,11591,1988,-0.30900986717990264,-0.5384515599570846,-0.8996055482586613,-0.7430192523152999
ARIZONA,116.0,2012,6.0,1526823,29245,-0.2888816073037774,0.399204210642465,-0.7506589804853109,-0.34057755927901245
ARIZONA,124.0,2017,49.0,1706589,24648,0.14387598003291574,0.46617962282814707,-0.7329880702205169,-0.40845092989528764
ARKANSAS,60.0,2012,0.0,12030118,33104,-0.3492663869321531,-0.06962367465730984,0.281809803543137,-0.28360054444146493
ARKANSAS,63.0,2017,0.0,12529972,29047,-0.3492663869321531,-0.04450789508767905,0.330945208344369,-0.34350097180501254
CALIFORNIA,33.0,2012,36.0,14173613,465422,0.013042290838101538,-0.29566569078398697,0.49251431829027664,6.099449235433859
CALIFORNIA,34.0,2017,47.0,17122320,377593,0.12374772015679046,-0.28729376426077674,0.7823707805477085,4.802679544797176
COLORADO,144.0,2012,18.0,7584621,38019,-0.1681120480470258,0.6336181532923524,-0.15518038686778762,-0.2110319961319168
COLORADO,515.0,2017,908.0,8843066,36733,8.788963596828715,3.7396028934033607,-0.031475856154646646,-0.23001941284119024
CONNECTICUT,5.0,2012,3.0,104340,13713,-0.31907399711796525,-0.5300796334338744,-0.8904883667218336,-0.5699030307630208
CONNECTICUT,9.0,2017,0.0,84894,11897,-0.3492663869321531,-0.49659192734103336,-0.8923998990528038,-0.596715743627749
DELAWARE,9.0,2012,1.0,709721,3697,-0.3392022569940905,-0.49659192734103336,-0.8309797092058897,-0.7177863633913899
DELAWARE,10.0,2017,7.0,836550,3509,-0.2788174773657147,-0.4882200008178231,-0.8185124802639678,-0.7205621288201173
FLORIDA,808.0,2012,149.0,4296986,107192,1.1502889738391786,6.1925773647039675,-0.4783533064877132,0.8102872698327569
FLORIDA,645.0,2017,158.0,4592103,96247,1.2408661432817423,4.827953341420694,-0.44934344909190327,0.648687521867751
GEORGIA,96.0,2012,27.0,7647831,51156,-0.07753487860446213,0.2317656801782597,-0.14896687464724748,-0.017068004444727898
GEORGIA,77.0,2017,20.0,7869127,48972,-0.14798378817090055,0.07269907623726465,-0.1272135856050603,-0.04931413048909271
HAWAII,45.0,2012,12.0,158362,12492,-0.22849682767540158,-0.1952025725054638,-0.8851780304272913,-0.5879307413400214
HAWAII,25.0,2017,16.0,157578,11891,-0.18824030792315105,-0.3626411029696691,-0.8852550972455305,-0.5968043318861127
IDAHO,94.0,2012,3.0,6458598,48225,-0.31907399711796525,0.21502182713183915,-0.26586789946246053,-0.06034336865536584
IDAHO,79.0,2017,0.0,6879948,45585,-0.3492663869321531,0.08944292928368518,-0.22444939963451258,-0.09932220233536726
ILLINOIS,25.0,2012,16.0,33824518,63985,-0.18824030792315105,-0.3626411029696691,2.4241887109840503,0.17234845664646084
ILLINOIS,26.0,2017,14.0,34951159,55584,-0.20836856779927632,-0.35426917644645883,2.5349369726777944,0.04831013022763813
INDIANA,7.0,2012,1.0,16720913,46590,-0.3392022569940905,-0.5133357803874539,0.7429126679087217,-0.08448366905945763
INDIANA,7.0,2017,1.0,17928386,43528,-0.3392022569940905,-0.5133357803874539,0.8616066758421541,-0.1296932102443684
IOWA,21.0,2012,12.0,35153302,79838,-0.22849682767540158,-0.39612880906251013,2.554807531146338,0.40641339995292397
IOWA,19.0,2017,14.0,35830885,73257,-0.20836856779927632,-0.4128726621089307,2.62141361010426,0.3092468452377386
KANSAS,22.0,2012,6.0,27570099,48853,-0.2888816073037774,-0.3877568825392999,1.8093823688091022,-0.05107113094663823
KANSAS,6.0,2017,0.0,29271583,43102,-0.3492663869321531,-0.5217077069106641,1.9766374174889554,-0.13598297658818678
KENTUCKY,29.0,2012,4.0,5795511,68586,-0.30900986717990264,-0.32915339687682804,-0.3310490286790608,0.24028088610164514
KENTUCKY,44.0,2017,0.0,7326868,52701,-0.3492663869321531,-0.20357449902867408,-0.18051738125761335,0.005743472083909301
LOUISIANA,39.0,2012,0.0,6707632,26632,-0.3492663869321531,-0.2454341316447254,-0.24138797852700736,-0.3791577457963775
LOUISIANA,36.0,2017,0.0,7008846,23019,-0.3492663869321531,-0.2705499112143562,-0.21177878900006894,-0.4325026420410158
MAINE,108.0,2012,26.0,486681,15072,-0.08759900854252477,0.3322287984567828,-0.8529044325988541,-0.5498377902436564
MAINE,60.0,2017,13.0,377651,13440,-0.21843269773733895,-0.06962367465730984,-0.8636220285078161,-0.5739337965185665
MARYLAND,37.0,2012,5.0,1851739,14705,-0.29894573724184,-0.26217798469114595,-0.7187198958998177,-0.5552564387135658
MARYLAND,39.0,2017,5.0,2024838,15143,-0.29894573724184,-0.2454341316447254,-0.7017043484885968,-0.5487894958530201
MASSACHUSETTS,34.0,2012,6.0,146298,15649,-0.2888816073037774,-0.28729376426077674,-0.8863639157528505,-0.5413185527310198
MASSACHUSETTS,10.0,2017,0.0,104853,13142,-0.3492663869321531,-0.4882200008178231,-0.8904379390716337,-0.5783336800172939
MICHIGAN,43.0,2012,14.0,9144285,83451,-0.20836856779927632,-0.21194642555188434,-0.0018661751301429035,0.45975829619756226
MICHIGAN,28.0,2017,16.0,9442672,77475,-0.18824030792315105,-0.3375253234000383,0.027465121673374133,0.3715243908673772
MINNESOTA,17.0,2012,31.0,26723076,81666,-0.03727835885221161,-0.4296165151553512,1.7261204203582468,0.4334032893343795
MINNESOTA,25.0,2017,114.0,28838683,70695,0.7980444260069866,-0.3626411029696691,1.9340835582851612,0.27141965891646447
MISSISSIPPI,35.0,2012,6.0,7234230,32307,-0.2888816073037774,-0.27892183773756646,-0.18962365154849134,-0.2953680180941017
MISSISSIPPI,35.0,2017,35.0,7995757,27166,0.002978160900038908,-0.27892183773756646,-0.11476591826623736,-0.37127339080201355
MISSOURI,20.0,2012,1.0,14628477,56543,-0.3392022569940905,-0.4045007355857204,0.5372272279989267,0.062469486856093194
MISSOURI,28.0,2017,14.0,17716940,50269,-0.20836856779927632,-0.3375253234000383,0.8408216370036107,-0.030164301972819284
MONTANA,28.0,2012,22.0,11548843,23199,-0.12785552829477528,-0.3375253234000383,0.23450070539505197,-0.42984499429010664
MONTANA,20.0,2017,34.0,12804119,21800,-0.007085969038023722,-0.4045007355857204,0.3578937249513049,-0.45050082319856194
NEBRASKA,25.0,2012,12.0,25459085,50495,-0.22849682767540158,-0.3626411029696691,1.6018707205456733,-0.026827477574455527
NEBRASKA,5.0,2017,1.0,27682627,44785,-0.3392022569940905,-0.5300796334338744,1.8204438164147492,-0.11113397011718588
NEVADA,14.0,2012,16.0,405029,6984,-0.18824030792315105,-0.454732294724982,-0.8609307844392519,-0.6692547625178427
NEVADA,13.0,2017,8.0,378577,5315,-0.2687533474276521,-0.4631042212481923,-0.8635310031587223,-0.6938970630526617
NEW HAMPSHIRE,61.0,2012,3.0,31275,6110,-0.31907399711796525,-0.06125174813409958,-0.8976706206435828,-0.6821591188194794
NEW HAMPSHIRE,40.0,2017,0.0,23795,4832,-0.3492663869321531,-0.23706220512151513,-0.8984059010012737,-0.7010284178509347
NEW JERSEY,181.0,2012,161.0,534689,24561,1.2710585330959303,0.9433794346511322,-0.8481852695758563,-0.40973545964156044
NEW JERSEY,66.0,2017,35.0,533171,25256,0.002978160900038908,-0.01939211551804826,-0.8483344882366818,-0.3994739863811055
NEW MEXICO,34.0,2012,5.0,1136634,21981,-0.29894573724184,-0.28729376426077674,-0.7890143691867875,-0.44782841073792545
NEW MEXICO,38.0,2017,0.0,1112679,20355,-0.3492663869321531,-0.25380605816793567,-0.7913691340221464,-0.4718358287544718
NEW YORK,30.0,2012,19.0,3039730,60944,-0.15804791810896318,-0.32078147035361776,-0.6019409590798255,0.12744897436582284
NEW YORK,19.0,2017,15.0,2786047,55636,-0.19830443786121368,-0.4128726621089307,-0.6268778744514959,0.04907789513345634
NORTH CAROLINA,333.0,2012,67.0,7424918,78012,0.32503031891804307,2.2159122661790924,-0.17087911400205313,0.37945303999092295
NORTH CAROLINA,280.0,2017,106.0,7999048,67496,0.7175313865024856,1.7722001604489486,-0.11444241456875598,0.22418735249891728
NORTH DAKOTA,16.0,2012,7.0,32260565,27414,-0.2788174773657147,-0.4379884416785615,2.27045289263489,-0.3676117427896498
NORTH DAKOTA,14.0,2017,0.0,32546858,24143,-0.3492663869321531,-0.454732294724982,2.298595355127456,-0.41590710830756067
OHIO,10.0,2012,7.0,12194817,64589,-0.2788174773657147,-0.4882200008178231,0.2979996350446517,0.1812663413217339
OHIO,21.0,2017,9.0,12614232,58785,-0.25868921748958945,-0.39612880906251013,0.339227925314828,0.09557196606463986
OKLAHOMA,36.0,2012,8.0,10709798,51119,-0.2687533474276521,-0.2705499112143562,0.15202299045939138,-0.01761429870463701
OKLAHOMA,19.0,2017,1.0,12203096,42431,-0.3392022569940905,-0.4128726621089307,0.29881345671327775,-0.14589009681518714
OREGON,81.0,2012,166.0,4096137,99305,1.3213791827862433,0.10618678233010571,-0.4980966653863569,0.6938380042137526
OREGON,23.0,2017,99.0,4411125,86240,0.6470824769360471,-0.3793849560160896,-0.4671334983665262,0.5009370716269274
PENNSYLVANIA,70.0,2012,15.0,3641936,65487,-0.19830443786121368,0.0140955905747928,-0.5427444025178481,0.1945250506568253
PENNSYLVANIA,64.0,2017,63.0,3601446,61071,0.28477379916579254,-0.03613596856446879,-0.5467245498016586,0.12932409250118654
RHODE ISLAND,13.0,2012,13.0,19812,1869,-0.21843269773733895,-0.4631042212481923,-0.8987974279617927,-0.7447762527728454
RHODE ISLAND,16.0,2017,15.0,13415,1759,-0.19830443786121368,-0.4379884416785615,-0.8994262499468394,-0.7464003708428455
SOUTH CAROLINA,79.0,2012,23.0,2866811,23398,-0.11779139835671265,0.08944292928368518,-0.6189388125786957,-0.4269068170543792
SOUTH CAROLINA,140.0,2017,40.0,3156839,20938,0.05329881059035206,0.6001304471995114,-0.5904292014048494,-0.4632280029834715
SOUTH DAKOTA,101.0,2012,7.0,19499290,27199,-0.2788174773657147,0.273625312794311,1.0160257741065963,-0.37078615538101356
SOUTH DAKOTA,121.0,2017,0.0,20031395,25914,-0.3492663869321531,0.4410638432585163,1.0683314365035355,-0.3897588073805597
TENNESSEE,40.0,2012,1.0,4787546,42737,-0.3392022569940905,-0.23706220512151513,-0.4301314973608634,-0.14137209563864153
TENNESSEE,43.0,2017,7.0,6420443,40056,-0.2788174773657147,-0.21194642555188434,-0.2696185173832754,-0.18095628241746117
TEXAS,178.0,2012,22.0,28837854,160392,-0.12785552829477528,0.9182636550815013,1.9340020679888343,1.5957698273236947
TEXAS,75.0,2017,20.0,29641067,143763,-0.14798378817090055,0.055955223190844124,2.012957514772519,1.3502474692688675
UTAH,25.0,2012,2.0,1063391,17927,-0.3291381270560279,-0.3626411029696691,-0.7962141204218613,-0.5076845439722912
UTAH,0.0,2017,0.0,971584,19136,-0.3492663869321531,-0.5719392660499257,-0.8052387038173863,-0.4898340099120179
VERMONT,2.0,2012,0.0,140303,9216,-0.3492663869321531,-0.5551954130035052,-0.8869532213336468,-0.6362999304065687
VERMONT,9.0,2017,3.0,127324,8458,-0.31907399711796525,-0.49659192734103336,-0.8882290507136562,-0.6474915803798419
VIRGINIA,40.0,2012,0.0,2677610,46561,-0.3492663869321531,-0.23706220512151513,-0.6375371787492132,-0.08491184564154856
VIRGINIA,37.0,2017,0.0,2927217,39657,-0.3492663869321531,-0.26217798469114595,-0.6130009321927765,-0.1868474015986432
WASHINGTON,40.0,2012,122.0,7720909,256036,0.8785574655114876,-0.23706220512151513,-0.14178334283182853,3.007925724479019
WASHINGTON,52.0,2017,268.0,8388494,228588,2.3479204364686317,-0.13659908684299196,-0.07616006240548313,2.6026639718848226
WEST VIRGINIA,0.0,2012,0.0,182795,10153,-0.3492663869321531,-0.5719392660499257,-0.8827762784246895,-0.6224653973921137
WEST VIRGINIA,11.0,2017,0.0,176778,9025,-0.3492663869321531,-0.4798480742946128,-0.8833677465947732,-0.6391199899644779
WISCONSIN,28.0,2012,25.0,10199186,79590,-0.09766313848058739,-0.3375253234000383,0.10183007949665694,0.4027517519405602
WISCONSIN,43.0,2017,98.0,9497150,72425,0.6370183469979845,-0.21194642555188434,0.03282028254587193,0.2969626067446472
